model_id,embedding_family,embedding,model,beta,accuracy,precision,recall,f_1.0,f_0.7,f_0.5,f_0.3,TN,TP,FP,FN,confusion_matrix,score_type,model_path
CM067,clinical-modernbert,clinical-modernbert_mean_pca,SVM,0.5,0.7543859649122807,0.7428571428571429,0.3561643835616438,0.4814814814814814,,0.6103286384976526,,146,26,9,47,"[[146, 9], [47, 26]]",,
CM068,clinical-modernbert,clinical-modernbert_mean_pca,KNN,0.5,0.6842105263157895,0.5072463768115942,0.4794520547945205,0.4929577464788732,,0.501432664756447,,121,35,34,38,"[[121, 34], [38, 35]]",,
CM069,clinical-modernbert,clinical-modernbert_mean_pca,MLPClassifier,0.5,0.7412280701754386,0.6060606060606061,0.547945205479452,0.5755395683453237,,0.5934718100890207,,129,40,26,33,"[[129, 26], [33, 40]]",,
CM070,clinical-modernbert,clinical-modernbert_mean_pca,DecisionTree,0.5,0.6447368421052632,0.4375,0.3835616438356164,0.4087591240875912,,0.425531914893617,,119,28,36,45,"[[119, 36], [45, 28]]",,
CM071,clinical-modernbert,clinical-modernbert_mean_pca,RandomForest,0.5,0.7587719298245614,0.8,0.3287671232876712,0.4660194174757281,,0.6217616580310881,,149,24,6,49,"[[149, 6], [49, 24]]",,
CM072,clinical-modernbert,clinical-modernbert_mean_pca,XGBoost,0.5,0.7368421052631579,0.6857142857142857,0.3287671232876712,0.4444444444444444,,0.5633802816901409,,144,24,11,49,"[[144, 11], [49, 24]]",,
CM073,longformer,longformer_cls,LogisticRegression,1.0,0.7324561403508771,0.5697674418604651,0.6712328767123288,0.6163522012578616,,,,118,49,37,24,"[[118, 37], [24, 49]]",,
CM074,longformer,longformer_cls,RidgeClassifier,1.0,0.7456140350877193,0.5974025974025974,0.6301369863013698,0.6133333333333333,,,,124,46,31,27,"[[124, 31], [27, 46]]",,
CM075,longformer,longformer_cls,LDA,1.0,0.6271929824561403,0.4375,0.5753424657534246,0.4970414201183432,,,,101,42,54,31,"[[101, 54], [31, 42]]",,
CM076,longformer,longformer_cls,SVM,1.0,0.7324561403508771,0.59375,0.5205479452054794,0.5547445255474452,,,,129,38,26,35,"[[129, 26], [35, 38]]",,
CM077,longformer,longformer_cls,KNN,1.0,0.7105263157894737,0.5777777777777777,0.3561643835616438,0.4406779661016949,,,,136,26,19,47,"[[136, 19], [47, 26]]",,
CM078,longformer,longformer_cls,MLPClassifier,1.0,0.7192982456140351,0.5529411764705883,0.6438356164383562,0.5949367088607594,,,,117,47,38,26,"[[117, 38], [26, 47]]",,
CM079,longformer,longformer_cls,DecisionTree,1.0,0.6228070175438597,0.4301075268817204,0.547945205479452,0.4819277108433735,,,,102,40,53,33,"[[102, 53], [33, 40]]",,
CM080,longformer,longformer_cls,RandomForest,1.0,0.6973684210526315,0.5357142857142857,0.410958904109589,0.4651162790697674,,,,129,30,26,43,"[[129, 26], [43, 30]]",,
CM081,longformer,longformer_cls,XGBoost,1.0,0.7412280701754386,0.6590909090909091,0.3972602739726027,0.4957264957264957,,,,140,29,15,44,"[[140, 15], [44, 29]]",,
CM082,longformer,longformer_cls,LogisticRegression,0.5,0.7412280701754386,0.6842105263157895,0.3561643835616438,0.4684684684684684,,0.5777777777777777,,143,26,12,47,"[[143, 12], [47, 26]]",,
CM083,longformer,longformer_cls,RidgeClassifier,0.5,0.7236842105263158,0.5892857142857143,0.4520547945205479,0.5116279069767442,,0.5555555555555556,,132,33,23,40,"[[132, 23], [40, 33]]",,
CM084,longformer,longformer_cls,LDA,0.5,0.6271929824561403,0.4375,0.5753424657534246,0.4970414201183432,,0.4595185995623632,,101,42,54,31,"[[101, 54], [31, 42]]",,
CM085,longformer,longformer_cls,SVM,0.5,0.7236842105263158,0.631578947368421,0.3287671232876712,0.4324324324324324,,0.5333333333333333,,141,24,14,49,"[[141, 14], [49, 24]]",,
CM086,longformer,longformer_cls,KNN,0.5,0.706140350877193,0.575,0.3150684931506849,0.4070796460176991,,0.4935622317596566,,138,23,17,50,"[[138, 17], [50, 23]]",,
CM087,longformer,longformer_cls,MLPClassifier,0.5,0.7149122807017544,0.5555555555555556,0.547945205479452,0.5517241379310345,,0.554016620498615,,123,40,32,33,"[[123, 32], [33, 40]]",,
CM088,longformer,longformer_cls,DecisionTree,0.5,0.6228070175438597,0.4301075268817204,0.547945205479452,0.4819277108433735,,0.449438202247191,,102,40,53,33,"[[102, 53], [33, 40]]",,
